"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 85+ years","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"lx - number of people left alive at age x"," &lt;1 year","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05"
"lx - number of people left alive at age x"," 1-4 years","95374.52495","95045.41983","95721.66122","94556.62191","94221.82233","94913.29651","93554.98441","93121.62367","94007.62805","92225.80848","91820.27986","92659.17453","90895.7816","90344.0295","91475.12926"
"lx - number of people left alive at age x"," 5-9 years","94009.68473","93663.07618","94375.41861","92825.15407","92479.81098","93192.92007","91184.08227","90761.85386","91625.09656","89160.04522","88812.66054","89531.44299","87031.15912","86553.64528","87532.44498"
"lx - number of people left alive at age x"," 10-14 years","93793.06316","93443.6943","94161.71577","92515.47264","92168.2647","92885.18679","90660.28033","90240.51087","91098.72576","88644.53109","88306.8179","89005.66764","86490.58637","86023.25999","86981.06687"
"lx - number of people left alive at age x"," 15-19  years","93619.87959","93263.25843","93996.17099","92285.48486","91930.80517","92663.1077","90286.0801","89858.77834","90732.51891","88317.22299","87972.12865","88686.20737","86169.74342","85695.92136","86667.42466"
"lx - number of people left alive at age x"," 20-24 years","93002.65856","92585.97775","93442.96158","91268.33159","90681.50354","91892.57788","89441.7347","88902.53171","90008.62582","87468.88953","87048.82126","87919.49573","85156.59484","84571.02752","85779.40091"
"lx - number of people left alive at age x"," 25-29 years","92072.36238","91564.91812","92609.72096","89725.74814","88678.23047","90857.49526","88165.62174","87462.20787","88911.99565","86198.96046","85736.80705","86696.56287","83611.45815","82888.60288","84389.47391"
"lx - number of people left alive at age x"," 30-34 years","90934.83388","90405.20375","91496.71889","88179.41906","86871.14211","89610.29324","86699.21091","85949.44666","87495.48244","84677.19191","84305.69884","85071.49454","81882.31265","81244.04319","82567.79752"
"lx - number of people left alive at age x"," 35-39 years","89533.17814","89030.18356","90065.77644","86443.18046","84977.43883","88052.23609","84960.93259","84214.12763","85754.52602","82883.53731","82656.45879","83115.85896","79894.30018","79406.37471","80417.4546"
"lx - number of people left alive at age x"," 40-44 years","87597.27654","87231.64437","87980.02327","84244.47434","82743.91231","85895.27673","82764.62571","82153.06436","83411.12779","80528.42686","80533.36574","80506.72105","77346.92879","77106.80879","77603.21414"
"lx - number of people left alive at age x"," 45-49 years","84803.13355","84614.98689","84990.07063","81381.39408","79957.22713","82947.40794","79772.81391","79296.5179","80274.16421","77259.63833","77429.266","77060.65796","73874.01994","73795.14848","73958.18062"
