measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,80,France,3,Both,18,65-69 years,429,Breast cancer,1,Number,2019,1559.8687377936553,1851.948415540338,1276.0971936897333
1,Deaths,80,France,1,Male,19,70-74 years,429,Breast cancer,1,Number,2019,27.016807356768354,42.19591643164937,15.431030766877779
1,Deaths,80,France,2,Female,19,70-74 years,429,Breast cancer,1,Number,2019,1599.2618421987747,1923.5020579389475,1291.6470398535168
1,Deaths,80,France,3,Both,19,70-74 years,429,Breast cancer,1,Number,2019,1626.278649555543,1946.063508614821,1320.5321558644298
1,Deaths,80,France,1,Male,20,75-79 years,429,Breast cancer,1,Number,2019,20.578524704604483,34.240840044504615,11.43652964872397
1,Deaths,80,France,2,Female,20,75-79 years,429,Breast cancer,1,Number,2019,1393.373089511417,1704.4130246549062,1111.4902516361349
1,Deaths,80,France,3,Both,20,75-79 years,429,Breast cancer,1,Number,2019,1413.9516142160219,1719.4682752157141,1129.1094399052972
1,Deaths,80,France,1,Male,30,80-84,429,Breast cancer,1,Number,2019,26.50331120149397,50.33363311677985,13.00189860066102
1,Deaths,80,France,2,Female,30,80-84,429,Breast cancer,1,Number,2019,1767.8807419974607,2270.517437697414,1322.9507936091845
1,Deaths,80,France,3,Both,30,80-84,429,Breast cancer,1,Number,2019,1794.3840531989526,2293.4154535353327,1353.61707067658
1,Deaths,80,France,1,Male,160,85+ years,429,Breast cancer,1,Number,2019,50.913057953838674,80.49754068264218,31.04669028244399
1,Deaths,80,France,2,Female,160,85+ years,429,Breast cancer,1,Number,2019,4690.606671261074,5669.810460946374,3372.1824574047355
1,Deaths,80,France,3,Both,160,85+ years,429,Breast cancer,1,Number,2019,4741.519729214903,5715.043713794638,3433.153737804575
1,Deaths,95,United Kingdom,1,Male,5,1-4 years,322,Lower respiratory infections,1,Number,2019,15.508476417248295,17.78524497416378,13.070703465565215
1,Deaths,95,United Kingdom,2,Female,5,1-4 years,322,Lower respiratory infections,1,Number,2019,13.843320591111702,15.489734718657827,11.999187489248037
1,Deaths,95,United Kingdom,3,Both,5,1-4 years,322,Lower respiratory infections,1,Number,2019,29.351797008359977,33.05128823999674,25.67741072438796
1,Deaths,95,United Kingdom,1,Male,6,5-9 years,322,Lower respiratory infections,1,Number,2019,4.514992718832845,4.924286227705751,4.0648820319650385
1,Deaths,95,United Kingdom,2,Female,6,5-9 years,322,Lower respiratory infections,1,Number,2019,4.834952170681763,5.364758998951991,4.22599726221051
1,Deaths,95,United Kingdom,3,Both,6,5-9 years,322,Lower respiratory infections,1,Number,2019,9.349944889514603,9.999114318839895,8.469310505768608
1,Deaths,95,United Kingdom,1,Male,7,10-14 years,322,Lower respiratory infections,1,Number,2019,4.463052891325167,4.729550262417516,4.151354925156045
1,Deaths,95,United Kingdom,2,Female,7,10-14 years,322,Lower respiratory infections,1,Number,2019,4.800051551071349,5.334901697669125,4.407471076822129
1,Deaths,95,United Kingdom,3,Both,7,10-14 years,322,Lower respiratory infections,1,Number,2019,9.26310444239651,9.845957426513916,8.681165530729805
1,Deaths,95,United Kingdom,1,Male,8,15-19 years,322,Lower respiratory infections,1,Number,2019,7.701611231605914,8.259083209315436,7.1974876049895045
1,Deaths,95,United Kingdom,2,Female,8,15-19 years,322,Lower respiratory infections,1,Number,2019,6.7577747972382385,7.435346798382134,6.342781714690631
1,Deaths,95,United Kingdom,3,Both,8,15-19 years,322,Lower respiratory infections,1,Number,2019,14.459386028844177,15.598520886845607,13.740770781699673
1,Deaths,95,United Kingdom,1,Male,9,20-24 years,322,Lower respiratory infections,1,Number,2019,14.188644751711893,15.267317071472833,13.28339814859981
1,Deaths,95,United Kingdom,2,Female,9,20-24 years,322,Lower respiratory infections,1,Number,2019,10.042721302502683,10.90650896799473,9.444858229437282
1,Deaths,95,United Kingdom,3,Both,9,20-24 years,322,Lower respiratory infections,1,Number,2019,24.231366054214615,25.915938773146337,22.899734870116134
1,Deaths,95,United Kingdom,1,Male,10,25-29 years,322,Lower respiratory infections,1,Number,2019,24.41378735293161,25.91717425569978,23.081310245695263
1,Deaths,95,United Kingdom,2,Female,10,25-29 years,322,Lower respiratory infections,1,Number,2019,15.339818825789514,16.246918017024008,14.547618934142662
1,Deaths,95,United Kingdom,3,Both,10,25-29 years,322,Lower respiratory infections,1,Number,2019,39.753606178721085,41.69289463839247,37.995321107211275
1,Deaths,95,United Kingdom,1,Male,11,30-34 years,322,Lower respiratory infections,1,Number,2019,39.00503251842089,41.34267645774735,36.93805615262793
1,Deaths,95,United Kingdom,2,Female,11,30-34 years,322,Lower respiratory infections,1,Number,2019,23.329508044965014,24.707655168348776,22.13425588429245
1,Deaths,95,United Kingdom,3,Both,11,30-34 years,322,Lower respiratory infections,1,Number,2019,62.33454056338585,65.56651881933735,59.57429328324456
1,Deaths,95,United Kingdom,1,Male,12,35-39 years,322,Lower respiratory infections,1,Number,2019,56.06110771513968,59.154772389680325,53.29191370526371
1,Deaths,95,United Kingdom,2,Female,12,35-39 years,322,Lower respiratory infections,1,Number,2019,34.99707393174433,36.97299333031415,33.19790666785237
1,Deaths,95,United Kingdom,3,Both,12,35-39 years,322,Lower respiratory infections,1,Number,2019,91.05818164688387,95.72664405710094,87.1104791554261
1,Deaths,95,United Kingdom,1,Male,13,40-44 years,322,Lower respiratory infections,1,Number,2019,79.39084886231294,83.6701013212381,75.5080697442341
1,Deaths,95,United Kingdom,2,Female,13,40-44 years,322,Lower respiratory infections,1,Number,2019,49.75113042208226,52.50587178023175,47.309809889376105
1,Deaths,95,United Kingdom,3,Both,13,40-44 years,322,Lower respiratory infections,1,Number,2019,129.14197928439503,135.57937964342372,123.80636697460245
1,Deaths,95,United Kingdom,1,Male,14,45-49 years,322,Lower respiratory infections,1,Number,2019,126.84975280742772,134.46312273044967,119.81865977461977
1,Deaths,95,United Kingdom,2,Female,14,45-49 years,322,Lower respiratory infections,1,Number,2019,81.98667119655221,86.98970853627772,77.83979193215052
1,Deaths,95,United Kingdom,3,Both,14,45-49 years,322,Lower respiratory infections,1,Number,2019,208.83642400398006,220.50578173744898,197.92612643709583
1,Deaths,95,United Kingdom,1,Male,15,50-54 years,322,Lower respiratory infections,1,Number,2019,195.17119190090241,206.6109414167533,184.9456187043912
1,Deaths,95,United Kingdom,2,Female,15,50-54 years,322,Lower respiratory infections,1,Number,2019,131.90222156122059,139.29359660918576,125.075833957313
1,Deaths,95,United Kingdom,3,Both,15,50-54 years,322,Lower respiratory infections,1,Number,2019,327.0734134621233,345.0709429745182,311.6051195108473
1,Deaths,95,United Kingdom,1,Male,16,55-59 years,322,Lower respiratory infections,1,Number,2019,285.5868680499593,300.98655602664974,270.05841664060324
1,Deaths,95,United Kingdom,2,Female,16,55-59 years,322,Lower respiratory infections,1,Number,2019,196.8142261019509,206.90364727939178,186.81579364293322
1,Deaths,95,United Kingdom,3,Both,16,55-59 years,322,Lower respiratory infections,1,Number,2019,482.40109415191006,506.3790598275851,459.5298081372288
1,Deaths,95,United Kingdom,1,Male,17,60-64 years,322,Lower respiratory infections,1,Number,2019,411.1777184052183,430.7731060449491,392.490738432865
1,Deaths,95,United Kingdom,2,Female,17,60-64 years,322,Lower respiratory infections,1,Number,2019,280.6798953169722,295.869607717235,266.4937474510045
1,Deaths,95,United Kingdom,3,Both,17,60-64 years,322,Lower respiratory infections,1,Number,2019,691.8576137221908,723.6545917303952,660.2733165684722
1,Deaths,95,United Kingdom,1,Male,18,65-69 years,322,Lower respiratory infections,1,Number,2019,629.1504830790342,664.4056454449634,597.1229730270418
1,Deaths,95,United Kingdom,2,Female,18,65-69 years,322,Lower respiratory infections,1,Number,2019,436.3432387931499,463.1312076915233,411.4374779232131
